Date : 2025-12-21 16:23:10
Directory : /Users/ryllis/IdeaProjects/chat
Total : 60 files,  9094 codes, 950 comments, 1997 blanks, all 12041 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Java            |         42 |      3,039 |        635 |        754 |      4,428 |
| Markdown        |         10 |      2,756 |          0 |        785 |      3,541 |
| JavaScript      |          1 |      1,771 |        248 |        228 |      2,247 |
| PostCSS         |          1 |        834 |         14 |        148 |        996 |
| HTML            |          2 |        436 |         20 |         46 |        502 |
| Batch           |          1 |        139 |         26 |         25 |        190 |
| XML             |          1 |        112 |          2 |          5 |        119 |
| Java Properties |          2 |          7 |          5 |          6 |         18 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                   |         60 |      9,094 |        950 |      1,997 |     12,041 |
| . (Files)                                                                                                           |         13 |      3,301 |         28 |        846 |      4,175 |
| .mvn                                                                                                                |          1 |          3 |          0 |          1 |          4 |
| .mvn/wrapper                                                                                                        |          1 |          3 |          0 |          1 |          4 |
| src                                                                                                                 |         46 |      5,790 |        922 |      1,150 |      7,862 |
| src/main                                                                                                            |         45 |      5,781 |        922 |      1,145 |      7,848 |
| src/main/java                                                                                                       |         41 |      3,030 |        635 |        749 |      4,414 |
| src/main/java/com                                                                                                   |         41 |      3,030 |        635 |        749 |      4,414 |
| src/main/java/com/example                                                                                           |         41 |      3,030 |        635 |        749 |      4,414 |
| src/main/java/com/example/chat                                                                                      |         41 |      3,030 |        635 |        749 |      4,414 |
| src/main/java/com/example/chat (Files)                                                                              |          1 |          9 |          0 |          5 |         14 |
| src/main/java/com/example/chat/common                                                                               |          5 |        103 |         13 |         36 |        152 |
| src/main/java/com/example/chat/common/model                                                                         |          3 |         79 |         12 |         29 |        120 |
| src/main/java/com/example/chat/common/packet                                                                        |          2 |         24 |          1 |          7 |         32 |
| src/main/java/com/example/chat/config                                                                               |          3 |         72 |         21 |         19 |        112 |
| src/main/java/com/example/chat/handler                                                                              |         26 |      2,300 |        491 |        547 |      3,338 |
| src/main/java/com/example/chat/handler (Files)                                                                      |          2 |        427 |        133 |         86 |        646 |
| src/main/java/com/example/chat/handler/action                                                                       |         24 |      1,873 |        358 |        461 |      2,692 |
| src/main/java/com/example/chat/handler/action (Files)                                                               |          2 |         46 |         29 |         12 |         87 |
| src/main/java/com/example/chat/handler/action/impl                                                                  |         22 |      1,827 |        329 |        449 |      2,605 |
| src/main/java/com/example/chat/repository                                                                           |          1 |         13 |          4 |          6 |         23 |
| src/main/java/com/example/chat/service                                                                              |          4 |        410 |         63 |        104 |        577 |
| src/main/java/com/example/chat/service (Files)                                                                      |          2 |         32 |          5 |         14 |         51 |
| src/main/java/com/example/chat/service/impl                                                                         |          2 |        378 |         58 |         90 |        526 |
| src/main/java/com/example/chat/util                                                                                 |          1 |        123 |         43 |         32 |        198 |
| src/main/resources                                                                                                  |          4 |      2,751 |        287 |        396 |      3,434 |
| src/main/resources (Files)                                                                                          |          1 |          4 |          5 |          5 |         14 |
| src/main/resources/static                                                                                           |          3 |      2,747 |        282 |        391 |      3,420 |
| src/test                                                                                                            |          1 |          9 |          0 |          5 |         14 |
| src/test/java                                                                                                       |          1 |          9 |          0 |          5 |         14 |
| src/test/java/com                                                                                                   |          1 |          9 |          0 |          5 |         14 |
| src/test/java/com/example                                                                                           |          1 |          9 |          0 |          5 |         14 |
| src/test/java/com/example/chat                                                                                      |          1 |          9 |          0 |          5 |         14 |
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| filename                                                                                                            | language        | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| /Users/ryllis/IdeaProjects/chat/.mvn/wrapper/maven-wrapper.properties                                               | Java Properties |          3 |          0 |          1 |          4 |
| /Users/ryllis/IdeaProjects/chat/APIdoc.md                                                                           | Markdown        |        230 |          0 |         50 |        280 |
| /Users/ryllis/IdeaProjects/chat/FIX_LOMBOK_ERROR.md                                                                 | Markdown        |         96 |          0 |         44 |        140 |
| /Users/ryllis/IdeaProjects/chat/README_RUN.md                                                                       | Markdown        |         86 |          0 |         35 |        121 |
| /Users/ryllis/IdeaProjects/chat/User.md                                                                             | Markdown        |         19 |          0 |         18 |         37 |
| /Users/ryllis/IdeaProjects/chat/mvnw.cmd                                                                            | Batch           |        139 |         26 |         25 |        190 |
| /Users/ryllis/IdeaProjects/chat/pom.xml                                                                             | XML             |        112 |          2 |          5 |        119 |
| /Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/ChatApplication.java                                 | Java            |          9 |          0 |          5 |         14 |
| /Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/common/model/Group.java                              | Java            |         24 |          1 |          8 |         33 |
| /Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/common/model/Message.java                            | Java            |         26 |          4 |          6 |         36 |
| /Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/common/model/User.java                               | Java            |         29 |          7 |         15 |         51 |
| /Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/common/packet/WsRequest.java                         | Java            |          8 |          0 |          2 |         10 |
| /Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/common/packet/WsResponse.java                        | Java            |         16 |          1 |          5 |         22 |
| /Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/config/AppConfig.java                                | Java            |         25 |          7 |          6 |         38 |
| /Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/config/AuthHandshakeInterceptor.java                 | Java            |         28 |         12 |          9 |         49 |
| /Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/config/WebSocketConfig.java                          | Java            |         19 |          2 |          4 |         25 |
| /Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/handler/ChatHandler.java                             | Java            |        390 |        107 |         76 |        573 |
| /Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/handler/HandlerRegistry.java                         | Java            |         37 |         26 |         10 |         73 |
| /Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/handler/action/ActionHandler.java                    | Java            |          6 |          8 |          1 |         15 |
| /Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/handler/action/BaseActionHandler.java                | Java            |         40 |         21 |         11 |         72 |
| /Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/handler/action/impl/Accept_FriendRequestHandler.java | Java            |         66 |          8 |         17 |         91 |
| /Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/handler/action/impl/Create_GroupHandler.java         | Java            |         89 |         13 |         20 |        122 |
| /Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/handler/action/impl/Dissolve_GroupHandler.java       | Java            |         94 |         13 |         22 |        129 |
| /Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/handler/action/impl/Get_FriendRequestsHandler.java   | Java            |         38 |          5 |         12 |         55 |
| /Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/handler/action/impl/Get_FriendsHandler.java          | Java            |         69 |          9 |         15 |         93 |
| /Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/handler/action/impl/Get_GroupMembersHandler.java     | Java            |         58 |          7 |         15 |         80 |
| /Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/handler/action/impl/Get_GroupsHandler.java           | Java            |         62 |         10 |         16 |         88 |
| /Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/handler/action/impl/Get_HistoryHandler.java          | Java            |         92 |         14 |         16 |        122 |
| /Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/handler/action/impl/HeartbeatHandler.java            | Java            |         17 |          4 |          4 |         25 |
| /Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/handler/action/impl/Join_GroupHandler.java           | Java            |         56 |          7 |         15 |         78 |
| /Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/handler/action/impl/Kick_GroupUserHandler.java       | Java            |        135 |         21 |         29 |        185 |
| /Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/handler/action/impl/Leave_GroupHandler.java          | Java            |         90 |         15 |         22 |        127 |
| /Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/handler/action/impl/LoginHandler.java                | Java            |        108 |         28 |         29 |        165 |
| /Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/handler/action/impl/Msg_ReactHandler.java            | Java            |        168 |         53 |         44 |        265 |
| /Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/handler/action/impl/Msg_ReadHandler.java             | Java            |         77 |         14 |         22 |        113 |
| /Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/handler/action/impl/Mute_GroupUserHandler.java       | Java            |         91 |         11 |         21 |        123 |
| /Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/handler/action/impl/Recall_MsgHandler.java           | Java            |        147 |         48 |         39 |        234 |
| /Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/handler/action/impl/Reject_FriendRequestHandler.java | Java            |         44 |          4 |         13 |         61 |
| /Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/handler/action/impl/Send_FriendRequestHandler.java   | Java            |         70 |          8 |         18 |         96 |
| /Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/handler/action/impl/Send_GroupHandler.java           | Java            |         97 |         12 |         22 |        131 |
| /Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/handler/action/impl/Send_PrivateHandler.java         | Java            |         73 |         12 |         18 |        103 |
| /Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/handler/action/impl/Set_GroupAdminHandler.java       | Java            |         86 |         13 |         20 |        119 |
| /Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/repository/DataCenter.java                           | Java            |         13 |          4 |          6 |         23 |
| /Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/service/MessageService.java                          | Java            |          6 |          1 |          2 |          9 |
| /Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/service/UserService.java                             | Java            |         26 |          4 |         12 |         42 |
| /Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/service/impl/MessageServiceImpl.java                 | Java            |         70 |         18 |         23 |        111 |
